Index,Supplier Invoice,Supplier Invoice Total Amount ,Invoice Date,Status,Accounting Date for Supplier Invoice,Supplier Name,Payment Status,Beginning Payment Date,Check or ACH #,Payment Amount,Discount Taken,Payment Type,CF CCD LRV Payment Reconciliation Status SID,Bank Cleared Date,Invoice Amount,Due Date,Purchase Orders,Extended Amount,Cost Center
117,SI-00644108,72761.65,4/5/2023,Approved,4/5/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,2951344,72761.65,0,ACH,Reconciled,4/12/2023,72761.65,4/5/2023,PO-00128621,8543.05,CDBG Administration
118,SI-00644108,72761.65,4/5/2023,Approved,4/5/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,2951344,,,,Reconciled,4/12/2023,72761.65,4/5/2023,PO-00128621,64218.6,CDBG Administration
119,SI-00692386,6677.15,4/6/2023,Approved,4/6/2023,NEWMARK PARTNERS LP,Paid,5/5/2023,2989241,6677.15,0,ACH,Reconciled,5/8/2023,6677.15,5/6/2023,PO-00193031,6677.15,CDBG Administration
120,SI-00657118,31997.85,4/6/2023,Approved,4/6/2023,JBK HOTELS LLC,Paid,5/5/2023,2989253,31997.85,0,ACH,Reconciled,5/8/2023,31997.85,5/6/2023,PO-00131634,31997.85,CDBG Administration
121,SI-00666466,35044.88,4/6/2023,Approved,4/6/2023,JBK HOTELS LLC,Paid,5/5/2023,2989253,35044.88,0,ACH,Reconciled,5/8/2023,35044.88,5/6/2023,PO-00131634,35044.88,CDBG Administration
122,SI-00696779,1430,4/7/2023,Approved,5/1/2023,COLORADO VILLAGE COLLABORATIVE,Paid,5/12/2023,3007518,1430,0,ACH,Reconciled,5/15/2023,1430,4/7/2023,PO-00106768,1430,CDBG Administration
123,SI-00658917,455400,4/7/2023,Approved,4/7/2023,CATHOLIC CHARITIES AND COMMUNITY SERVICES OF DENVER,Paid,4/11/2023,50374729,455400,0,Check,Reconciled,4/14/2023,455400,4/7/2023,PO-00186453,455400,CDBG Administration
124,SI-00629073,9613.05,4/12/2023,Approved,4/12/2023,US MOTELS DENVER NORTH INC,Paid,5/12/2023,3007263,9613.05,0,ACH,Reconciled,5/15/2023,9613.05,5/12/2023,,2834.55,CDBG Administration
125,SI-00655356,847.09,4/12/2023,Approved,4/12/2023,LAND TITLE GUARANTEE CO,Paid,5/12/2023,3007505,847.09,0,ACH,Reconciled,5/15/2023,847.09,5/12/2023,PO-00135978,847.09,CDBG Administration
126,SI-00687568,36825.66,4/12/2023,Approved,4/12/2023,JBK HOTELS LLC,Paid,5/12/2023,3007304,36825.66,0,ACH,Reconciled,5/15/2023,36825.66,5/12/2023,PO-00131634,36825.66,CDBG Administration
127,SI-00685719,72819.48,4/14/2023,Approved,4/14/2023,NEWMARK PARTNERS LP,Paid,5/12/2023,3007274,72819.48,0,ACH,Reconciled,5/15/2023,72819.48,5/14/2023,PO-00103605,72819.48,CDBG Administration
128,SI-00617095,8064.18,4/14/2023,Approved,4/14/2023,B2B SOLUTIONS LLC,Paid,5/12/2023,3007295,8064.18,0,ACH,Reconciled,5/15/2023,8064.18,5/14/2023,PO-00140078,2048.84,CDBG Administration
129,SI-00674339,10779.07,4/14/2023,Approved,4/14/2023,B2B SOLUTIONS LLC,Paid,5/12/2023,3007328,10779.07,0,ACH,Reconciled,5/15/2023,10779.07,5/14/2023,PO-00128507,10779.07,CDBG Administration
130,SI-00667490,86160.55,4/14/2023,Approved,4/14/2023,SAINT FRANCIS CENTER,Paid,5/12/2023,50380568,86160.55,0,Check,Reconciled,6/29/2023,86160.55,5/14/2023,PO-00153135,86160.55,CDBG Administration
131,SI-00669962,251737.77,4/14/2023,Approved,4/14/2023,JBK HOTELS LLC,Paid,5/12/2023,3007304,251737.77,0,ACH,Reconciled,5/15/2023,251737.77,5/14/2023,PO-00153371,251737.77,CDBG Administration
132,SI-00616124,3149.17,4/16/2023,Approved,4/16/2023,DRY BOX INC,Paid,5/4/2023,50378996,3149.17,0,Check,Reconciled,5/17/2023,3149.17,4/16/2023,PO-00130327,3149.17,CDBG Administration
133,SI-00680188,5124.5,4/16/2023,Approved,4/16/2023,DRY BOX INC,Paid,5/2/2023,50378606,5124.5,0,Check,Reconciled,5/17/2023,5124.5,4/16/2023,PO-00130327,5124.5,CDBG Administration
134,SI-00693165,14696.77,4/16/2023,Approved,4/16/2023,DRY BOX INC,Paid,4/28/2023,50378168,14696.77,0,Check,Reconciled,5/5/2023,14696.77,4/16/2023,PO-00169385,14696.77,CDBG Administration
135,SI-00630166,33787.52,4/17/2023,Approved,5/1/2023,URBAN PEAK DENVER,Paid,5/17/2023,3007839,33787.52,0,ACH,Reconciled,5/18/2023,33787.52,5/17/2023,PO-00196472,33787.52,CDBG Administration
136,SI-00615962,27435,4/17/2023,Approved,5/1/2023,THE FAX EAST COLFAX REDEVELOPMENT LLC,Paid,5/10/2023,50379982,27435,0,Check,Reconciled,5/15/2023,27435,5/10/2023,PO-00173905,27435,CDBG Administration
137,SI-00698265,34288,4/17/2023,Approved,5/1/2023,THE FAX EAST COLFAX REDEVELOPMENT LLC,Paid,5/10/2023,50379982,34288,0,Check,Reconciled,5/15/2023,34288,5/10/2023,PO-00173905,34288,CDBG Administration
138,SI-00605912,666731.39,4/17/2023,Approved,4/17/2023,SECURITAS SECURITY SERVICES USA INC,Paid,5/8/2023,2989380,666731.39,0,ACH,Reconciled,5/9/2023,666731.39,4/17/2023,PO-00199489,24283.39,CDBG Administration
139,SI-00605912,666731.39,4/17/2023,Approved,4/17/2023,SECURITAS SECURITY SERVICES USA INC,Paid,5/8/2023,2989380,,,,Reconciled,5/9/2023,666731.39,4/17/2023,PO-00199489,642448,CDBG Administration
140,SI-00680936,110432.42,4/17/2023,Approved,4/17/2023,BUSCO INC,Paid,5/4/2023,2989055,110432.42,0,ACH,Reconciled,5/5/2023,110432.42,4/17/2023,PO-00120415,110432.42,CDBG Administration
141,SI-00630478,690.95,4/18/2023,Approved,5/1/2023,FACILITY SOLUTIONS GROUP FSG,Paid,5/11/2023,50380402,690.95,0,Check,Reconciled,5/18/2023,690.95,4/18/2023,PO-00170091,690.95,CDBG Administration
142,SI-00606621,6504.12,4/18/2023,Approved,4/18/2023,THE GATHERING PLACE,Paid,5/18/2023,50381676,6504.12,0,Check,Reconciled,6/5/2023,6504.12,5/18/2023,PO-00104929,6504.12,CDBG Administration
143,SI-00669055,2700,4/19/2023,Approved,5/1/2023,COLORADO VILLAGE COLLABORATIVE,Paid,5/19/2023,3008099,2700,0,ACH,Reconciled,5/22/2023,2700,4/19/2023,PO-00106768,2700,CDBG Administration
144,SI-00681094,1350,4/19/2023,Approved,5/1/2023,COLORADO VILLAGE COLLABORATIVE,Paid,5/19/2023,3008099,1350,0,ACH,Reconciled,5/22/2023,1350,4/19/2023,PO-00106768,1350,CDBG Administration
145,SI-00664595,61344.41,4/19/2023,Approved,5/1/2023,DRY BOX INC,Paid,5/18/2023,50381697,61344.41,0,Check,Reconciled,5/24/2023,61344.41,4/19/2023,PO-00122926,61344.41,CDBG Administration
146,SI-00655560,13835.21,4/19/2023,Approved,5/1/2023,DRY BOX INC,Paid,5/19/2023,50381978,13835.21,0,Check,Reconciled,5/30/2023,13835.21,5/19/2023,PO-00169385,13835.21,CDBG Administration
147,SI-00631500,707.5,4/19/2023,Approved,4/19/2023,THE COLORADO COALITION FOR THE HOMELESS,Paid,5/19/2023,3008098,707.5,0,ACH,Reconciled,5/22/2023,707.5,5/19/2023,PO-00149193,707.5,CDBG Administration
148,SI-00626820,595,4/19/2023,Approved,4/19/2023,THE COLORADO COALITION FOR THE HOMELESS,Paid,5/19/2023,3008098,595,0,ACH,Reconciled,5/22/2023,595,5/19/2023,PO-00191817,595,CDBG Administration
149,SI-00687563,6673.24,4/20/2023,Approved,5/1/2023,SENIOR SUPPORT SERVICES,Paid,5/15/2023,50381004,6673.24,0,Check,Reconciled,5/22/2023,6673.24,4/20/2023,PO-00152014,6673.24,CDBG Administration
150,SI-00612152,7336.91,4/20/2023,Approved,5/1/2023,SENIOR SUPPORT SERVICES,Paid,5/15/2023,50381004,7336.91,0,Check,Reconciled,5/22/2023,7336.91,4/20/2023,PO-00152014,7336.91,CDBG Administration
151,SI-00652774,7787.44,4/20/2023,Approved,5/1/2023,SENIOR SUPPORT SERVICES,Paid,5/12/2023,50380555,7787.44,0,Check,Reconciled,5/22/2023,7787.44,4/20/2023,PO-00152014,7787.44,CDBG Administration
152,SI-00616137,7207.48,4/20/2023,Approved,5/1/2023,SENIOR SUPPORT SERVICES,Paid,5/12/2023,50380555,7207.48,0,Check,Reconciled,5/22/2023,7207.48,4/20/2023,PO-00152014,7207.48,CDBG Administration
153,SI-00617082,6113.31,4/20/2023,Approved,5/1/2023,SENIOR SUPPORT SERVICES,Paid,5/12/2023,50380555,,,,Reconciled,5/22/2023,6113.31,4/20/2023,PO-00152014,3248.95,CDBG Administration
154,SI-00650591,363600,4/20/2023,Approved,4/20/2023,FACILITY SOLUTIONS GROUP FSG,Paid,5/4/2023,50379009,363600,0,Check,Reconciled,5/12/2023,363600,4/20/2023,PO-00127696,363600,CDBG Administration
155,SI-00602498,49342.57,4/21/2023,Approved,5/1/2023,HANDPRINT ARCHITECTURE INC,Paid,5/19/2023,3008213,49342.57,0,ACH,Reconciled,5/22/2023,49342.57,5/21/2023,PO-00128621,49342.57,CDBG Administration
156,SI-00678270,24971.5,4/21/2023,Approved,5/1/2023,HANDPRINT ARCHITECTURE INC,Paid,5/16/2023,3007673,24971.5,0,ACH,Reconciled,5/17/2023,24971.5,4/21/2023,PO-00128621,24971.5,CDBG Administration
157,SI-00633146,1510.67,4/21/2023,Approved,5/1/2023,NEWMARK PARTNERS LP,Paid,5/19/2023,3008155,1510.67,0,ACH,Reconciled,5/22/2023,1510.67,5/21/2023,PO-00182854,1510.67,CDBG Administration
158,SI-00670884,5753.59,4/24/2023,Approved,5/1/2023,OAK ENVIRONMENTAL LLC,Paid,5/24/2023,3026073,5753.59,0,ACH,Reconciled,5/25/2023,5753.59,5/24/2023,PO-00140491,5753.59,CDBG Administration
159,SI-00640251,51630.99,4/24/2023,Approved,5/1/2023,FACILITY SOLUTIONS GROUP FSG,Paid,5/16/2023,50381129,51630.99,0,Check,Reconciled,5/26/2023,51630.99,4/24/2023,PO-00139804,51630.99,CDBG Administration
160,SI-00635096,21406.98,4/24/2023,Approved,5/1/2023,FACILITY SOLUTIONS GROUP FSG,Paid,5/16/2023,50381129,21406.98,0,Check,Reconciled,5/26/2023,21406.98,4/24/2023,PO-00191637,21406.98,CDBG Administration
161,SI-00671899,6984.96,4/24/2023,Approved,5/1/2023,SENIOR SUPPORT SERVICES,Paid,5/15/2023,50381004,6984.96,0,Check,Reconciled,5/22/2023,6984.96,4/24/2023,PO-00152014,6984.96,CDBG Administration
162,SI-00686801,15609,4/25/2023,Approved,5/1/2023,THE DELORES PROJECT,Paid,5/25/2023,50382891,15609,0,Check,Reconciled,6/12/2023,15609,5/25/2023,PO-00164882,15609,CDBG Administration
163,SI-00650996,64237.55,4/25/2023,Approved,5/1/2023,COLORADO VILLAGE COLLABORATIVE,Paid,5/25/2023,3026169,64237.55,0,ACH,Reconciled,5/26/2023,64237.55,5/25/2023,PO-00152675,64237.55,CDBG Administration
164,SI-00660223,5500,4/26/2023,Approved,5/1/2023,SAFEHOUSE DENVER INC,Paid,5/26/2023,50383292,5500,0,Check,Reconciled,6/7/2023,5500,5/26/2023,PO-00134193,5500,CDBG Administration
165,SI-00602287,21545.64,4/26/2023,Approved,5/1/2023,BUSCO INC,Paid,5/26/2023,3026581,21545.64,0,ACH,Reconciled,5/30/2023,21545.64,5/26/2023,PO-00134921,21545.64,CDBG Administration
166,SI-00671335,39617.12,4/26/2023,Approved,5/1/2023,BUSCO INC,Paid,5/26/2023,3026581,39617.12,0,ACH,Reconciled,5/30/2023,39617.12,5/26/2023,PO-00134921,39617.12,CDBG Administration
167,SI-00616276,30800,4/26/2023,Approved,5/1/2023,BUSCO INC,Paid,5/26/2023,3026581,30800,0,ACH,Reconciled,5/30/2023,30800,5/26/2023,134921,30800,CDBG Administration
168,SI-00601411,91655.17,4/26/2023,Approved,5/1/2023,HANDPRINT ARCHITECTURE INC,Paid,5/26/2023,3026566,91655.17,0,ACH,Reconciled,5/30/2023,91655.17,5/26/2023,PO-00128621,91655.17,CDBG Administration
169,SI-00646286,95870.85,4/26/2023,Approved,5/1/2023,HANDPRINT ARCHITECTURE INC,Paid,5/26/2023,3026566,95870.85,0,ACH,Reconciled,5/30/2023,95870.85,5/26/2023,PO-00128621,95870.85,CDBG Administration
170,SI-00684389,63508.14,4/26/2023,Approved,4/26/2023,HANDPRINT ARCHITECTURE INC,Paid,5/2/2023,2988688,63508.14,0,ACH,Reconciled,5/3/2023,63508.14,4/26/2023,PO-00128621,8685.53,CDBG Administration
171,SI-00684389,63508.14,4/26/2023,Approved,4/26/2023,HANDPRINT ARCHITECTURE INC,Paid,5/2/2023,2988688,,,,Reconciled,5/3/2023,63508.14,4/26/2023,PO-00128621,54822.61,CDBG Administration
172,SI-00669253,16497.92,4/27/2023,Approved,5/1/2023,HANDPRINT ARCHITECTURE INC,Paid,5/17/2023,3007758,16497.92,0,ACH,Reconciled,5/18/2023,16497.92,4/27/2023,PO-00128621,6980.8,CDBG Administration
173,SI-00669253,16497.92,4/27/2023,Approved,5/1/2023,HANDPRINT ARCHITECTURE INC,Paid,5/17/2023,3007758,,,,Reconciled,5/18/2023,16497.92,4/27/2023,PO-00128621,9517.12,CDBG Administration
174,SI-00674262,66766,4/27/2023,Approved,5/1/2023,HANDPRINT ARCHITECTURE INC,Paid,5/16/2023,3007673,66766,0,ACH,Reconciled,5/17/2023,66766,4/27/2023,PO-00128621,9753.65,CDBG Administration
175,SI-00674262,66766,4/27/2023,Approved,5/1/2023,HANDPRINT ARCHITECTURE INC,Paid,5/16/2023,3007673,,,,Reconciled,5/17/2023,66766,4/27/2023,PO-00128621,57012.35,CDBG Administration
176,SI-00662829,271863.86,4/28/2023,Approved,5/1/2023,US MOTELS DENVER NORTH INC,Paid,5/24/2023,3026054,271863.86,0,ACH,Reconciled,5/25/2023,271863.86,4/28/2023,PO-00179385,271863.86,CDBG Administration
177,SI-00642194,2800,4/28/2023,Approved,5/1/2023,THE SALVATION ARMY,Paid,5/26/2023,3026488,2800,0,ACH,Reconciled,5/30/2023,2800,5/28/2023,PO-00132712,2800,CDBG Administration
178,SI-00626532,102787.08,4/28/2023,Approved,5/1/2023,HANDPRINT ARCHITECTURE INC,Paid,5/26/2023,3026566,102787.08,0,ACH,Reconciled,5/30/2023,102787.08,5/28/2023,PO-00128621,102787.08,CDBG Administration
179,SI-00644858,137226.27,4/28/2023,Approved,5/1/2023,US MOTELS DENVER NORTH INC,Paid,5/26/2023,3026603,137226.27,0,ACH,Reconciled,5/30/2023,137226.27,5/28/2023,PO-00163466,137226.27,CDBG Administration
180,SI-00664023,6746.31,5/1/2023,Approved,5/1/2023,SENIOR SUPPORT SERVICES,Paid,5/22/2023,50382259,6746.31,0,Check,Reconciled,5/26/2023,6746.31,5/1/2023,PO-00152014,6746.31,CDBG Administration
181,SI-00640278,259215.78,5/1/2023,Approved,5/1/2023,US MOTELS DENVER NORTH INC,Paid,5/31/2023,3026971,259215.78,0,ACH,Reconciled,6/1/2023,259215.78,5/31/2023,PO-00179385,259215.78,CDBG Administration
182,SI-00644848,17592.85,5/2/2023,Approved,6/1/2023,HANDPRINT ARCHITECTURE INC,Paid,6/29/2023,3065648,17592.85,0,ACH,Reconciled,6/30/2023,17592.85,6/1/2023,PO-00128621,7195.9,CDBG Administration
183,SI-00644848,17592.85,5/2/2023,Approved,6/1/2023,HANDPRINT ARCHITECTURE INC,Paid,6/29/2023,3065648,,,,Reconciled,6/30/2023,17592.85,6/1/2023,PO-00128621,10396.95,CDBG Administration
184,SI-00612963,62831.79,5/2/2023,Approved,6/1/2023,HANDPRINT ARCHITECTURE INC,Paid,6/29/2023,3065717,62831.79,0,ACH,Reconciled,6/30/2023,62831.79,6/29/2023,PO-00128621,8982.62,CDBG Administration
185,SI-00612963,62831.79,5/2/2023,Approved,6/1/2023,HANDPRINT ARCHITECTURE INC,Paid,6/29/2023,3065717,,,,Reconciled,6/30/2023,62831.79,6/29/2023,PO-00128621,53849.17,CDBG Administration
186,SI-00687011,62707.67,5/2/2023,Approved,5/2/2023,HANDPRINT ARCHITECTURE INC,Paid,6/1/2023,3027216,62707.67,0,ACH,Reconciled,6/2/2023,62707.67,6/1/2023,PO-00128621,62707.67,CDBG Administration
187,SI-00689286,331350.72,5/4/2023,Approved,5/4/2023,US MOTELS DENVER NORTH INC,Paid,6/2/2023,3027257,331350.72,0,ACH,Reconciled,6/5/2023,331350.72,6/3/2023,PO-00179385,331350.72,CDBG Administration
188,SI-00640844,470580,5/4/2023,Approved,5/4/2023,CATHOLIC CHARITIES AND COMMUNITY SERVICES OF DENVER,Paid,5/9/2023,2989510,470580,0,ACH,Reconciled,5/10/2023,470580,5/4/2023,PO-00186453,470580,CDBG Administration
189,SI-00673354,93845.84,5/5/2023,Approved,5/5/2023,HANDPRINT ARCHITECTURE INC,Paid,6/2/2023,3027333,93845.84,0,ACH,Reconciled,6/5/2023,93845.84,6/4/2023,PO-00128621,93845.84,CDBG Administration
190,SI-00617361,6533.35,5/6/2023,Approved,5/6/2023,BOB BARKER COMPANY INC,Paid,6/7/2023,3045413,6533.35,0,ACH,Reconciled,6/8/2023,6533.35,6/5/2023,PO-00100089,1393.35,CDBG Administration
191,SI-00663698,330,5/8/2023,Approved,6/1/2023,COLORADO VILLAGE COLLABORATIVE,Paid,6/20/2023,3046775,330,0,ACH,Reconciled,6/21/2023,330,6/7/2023,PO-00106768,330,CDBG Administration
192,SI-00697860,2831.78,5/9/2023,Approved,5/9/2023,SENIOR SUPPORT SERVICES,Paid,6/8/2023,50385462,2831.78,0,Check,Reconciled,6/13/2023,2831.78,6/8/2023,PO-00152014,2831.78,CDBG Administration
193,SI-00688769,5352.3,5/9/2023,Approved,5/9/2023,NEWMARK PARTNERS LP,Paid,6/8/2023,3045702,5352.3,0,ACH,Reconciled,6/9/2023,5352.3,6/8/2023,PO-00193031,5352.3,CDBG Administration
194,SI-00610637,3575.43,5/10/2023,Approved,6/1/2023,LAND TITLE GUARANTEE CO,Paid,6/23/2023,3065091,3575.43,0,ACH,Reconciled,6/26/2023,3575.43,5/10/2023,,530.1,CDBG Administration
195,SI-00610637,3575.43,5/10/2023,Approved,6/1/2023,LAND TITLE GUARANTEE CO,Paid,6/23/2023,3065091,,,,Reconciled,6/26/2023,3575.43,5/10/2023,,3045.33,CDBG Administration
196,SI-00675656,1508.52,5/10/2023,Approved,6/1/2023,LAND TITLE GUARANTEE CO,Paid,6/23/2023,3065091,1508.52,0,ACH,Reconciled,6/26/2023,1508.52,6/9/2023,,530.1,CDBG Administration
197,SI-00675656,1508.52,5/10/2023,Approved,6/1/2023,LAND TITLE GUARANTEE CO,Paid,6/23/2023,3065091,,,,Reconciled,6/26/2023,1508.52,6/9/2023,,978.42,CDBG Administration
198,SI-00657580,2506.69,5/10/2023,Approved,6/1/2023,LAND TITLE GUARANTEE CO,Paid,6/23/2023,3065091,2506.69,0,ACH,Reconciled,6/26/2023,2506.69,6/9/2023,,353.4,CDBG Administration
199,SI-00657580,2506.69,5/10/2023,Approved,6/1/2023,LAND TITLE GUARANTEE CO,Paid,6/23/2023,3065091,,,,Reconciled,6/26/2023,2506.69,6/9/2023,,2153.29,CDBG Administration
200,SI-00686279,3621.92,5/10/2023,Approved,6/1/2023,LAND TITLE GUARANTEE CO,Paid,6/23/2023,3065091,3621.92,0,ACH,Reconciled,6/26/2023,3621.92,5/10/2023,,46.98,CDBG Administration
201,SI-00686279,3621.92,5/10/2023,Approved,6/1/2023,LAND TITLE GUARANTEE CO,Paid,6/23/2023,3065091,,,,Reconciled,6/26/2023,3621.92,5/10/2023,,483.12,CDBG Administration
202,SI-00686279,3621.92,5/10/2023,Approved,6/1/2023,LAND TITLE GUARANTEE CO,Paid,6/23/2023,3065091,,,,Reconciled,6/26/2023,3621.92,5/10/2023,,1231.35,CDBG Administration
203,SI-00686279,3621.92,5/10/2023,Approved,6/1/2023,LAND TITLE GUARANTEE CO,Paid,6/23/2023,3065091,,,,Reconciled,6/26/2023,3621.92,5/10/2023,,1860.47,CDBG Administration
204,SI-00656143,233926.76,5/11/2023,Approved,5/11/2023,US MOTELS DENVER NORTH INC,Paid,6/9/2023,3045845,233926.76,0,ACH,Reconciled,6/12/2023,233926.76,6/10/2023,PO-00163466,233926.76,CDBG Administration
205,SI-00690757,14906,5/12/2023,Approved,5/12/2023,COLORADO SAFE PARKING INITIATIVE,Paid,6/9/2023,50385665,14906,0,Check,Reconciled,6/20/2023,14906,6/11/2023,PO-00144410,1912,CDBG Administration
206,SI-00657952,6467.99,5/12/2023,Approved,5/12/2023,THE GATHERING PLACE,Paid,6/9/2023,50385649,6467.99,0,Check,Reconciled,7/3/2023,6467.99,6/11/2023,PO-00104929,6467.99,CDBG Administration
207,SI-00601749,1286.92,5/12/2023,Approved,5/12/2023,HANDPRINT ARCHITECTURE INC,Paid,5/22/2023,3008281,1286.92,0,ACH,Reconciled,5/23/2023,1286.92,5/22/2023,PO-00128621,1286.92,CDBG Administration
208,SI-00665868,986.04,5/12/2023,Approved,5/12/2023,HANDPRINT ARCHITECTURE INC,Paid,6/9/2023,3045847,986.04,0,ACH,Reconciled,6/12/2023,986.04,6/11/2023,PO-00128621,986.04,CDBG Administration
209,SI-00617024,66890.59,5/12/2023,Approved,5/12/2023,HANDPRINT ARCHITECTURE INC,Paid,6/9/2023,3045894,66890.59,0,ACH,Reconciled,6/12/2023,66890.59,6/11/2023,PO-00128621,66890.59,CDBG Administration
210,SI-00681710,26248.91,5/12/2023,Approved,5/12/2023,HANDPRINT ARCHITECTURE INC,Paid,6/9/2023,3045894,26248.91,0,ACH,Reconciled,6/12/2023,26248.91,6/11/2023,PO-00128621,26248.91,CDBG Administration
211,SI-00661612,15799,5/15/2023,Approved,5/15/2023,B2B SOLUTIONS LLC,Paid,6/14/2023,3046246,15799,0,ACH,Reconciled,6/15/2023,15799,6/14/2023,PO-00128507,15799,CDBG Administration
212,SI-00689695,77700.18,5/15/2023,Approved,5/15/2023,SAINT FRANCIS CENTER,Paid,6/14/2023,50386248,77700.18,0,Check,Reconciled,6/29/2023,77700.18,6/14/2023,PO-00153135,77700.18,CDBG Administration
213,SI-00636093,36.13,5/15/2023,Approved,5/15/2023,SENIOR SUPPORT SERVICES,Paid,5/25/2023,50382877,36.13,0,Check,Reconciled,6/1/2023,36.13,5/15/2023,PO-00152014,36.13,CDBG Administration
214,SI-00647541,8280.87,5/15/2023,Approved,5/15/2023,B2B SOLUTIONS LLC,Paid,6/14/2023,3046210,8280.87,0,ACH,Reconciled,6/15/2023,8280.87,6/14/2023,PO-00140078,2601.53,CDBG Administration
215,SI-00634263,37027,5/16/2023,Approved,6/1/2023,THE DELORES PROJECT,Paid,6/22/2023,50387612,37027,0,Check,Reconciled,7/10/2023,37027,5/16/2023,PO-00193398,37027,CDBG Administration
216,SI-00672065,53339.12,5/16/2023,Approved,5/16/2023,URBAN PEAK DENVER,Paid,6/1/2023,3027205,53339.12,0,ACH,Reconciled,6/2/2023,53339.12,5/16/2023,PO-00196472,53339.12,CDBG Administration
217,SI-00621255,320315.7,5/16/2023,Approved,5/16/2023,JBK HOTELS LLC,Paid,6/15/2023,3046336,320315.7,0,ACH,Reconciled,6/16/2023,320315.7,6/15/2023,PO-00153371,320315.7,CDBG Administration
218,SI-00629609,26055,5/16/2023,Approved,5/16/2023,BUSCO INC,Paid,6/15/2023,3046343,26055,0,ACH,Reconciled,6/16/2023,26055,6/15/2023,PO-00134921,26055,CDBG Administration
219,SI-00641222,28663,5/16/2023,Approved,5/16/2023,FCI CONSTRUCTORS INC,Paid,5/18/2023,3008025,18663,0,ACH,Reconciled,5/19/2023,28663,5/16/2023,PO-00195778,28663,Early Intervention Team
220,SI-00611723,32304.13,5/17/2023,Approved,5/17/2023,JBK HOTELS LLC,Paid,6/16/2023,3046583,32304.13,0,ACH,Reconciled,6/20/2023,32304.13,6/16/2023,PO-00131634,32304.13,CDBG Administration
221,SI-00634804,7793.43,5/17/2023,Approved,5/17/2023,FACILITY SOLUTIONS GROUP FSG,Paid,6/7/2023,50385258,7793.43,0,Check,Reconciled,6/15/2023,7793.43,5/17/2023,PO-00191637,7793.43,CDBG Administration
222,SI-00668122,121200,5/17/2023,Approved,5/17/2023,FACILITY SOLUTIONS GROUP FSG,Paid,6/6/2023,50384949,121200,0,Check,Reconciled,6/9/2023,121200,5/17/2023,PO-00127696,121200,CDBG Administration
223,SI-00644623,31028.76,5/17/2023,Approved,5/17/2023,US MOTELS DENVER NORTH INC,Paid,5/31/2023,3026971,31028.76,0,ACH,Reconciled,6/1/2023,31028.76,5/17/2023,PO-00164279,6497.76,CDBG Administration
224,SI-00644623,31028.76,5/17/2023,Approved,5/17/2023,US MOTELS DENVER NORTH INC,Paid,5/31/2023,3026971,,,,Reconciled,6/1/2023,31028.76,5/17/2023,PO-00164279,24531,CDBG Administration
225,SI-00656263,86726.61,5/17/2023,Approved,5/17/2023,BUSCO INC,Paid,6/16/2023,3046640,86726.61,0,ACH,Reconciled,6/20/2023,86726.61,6/16/2023,PO-00120415,86726.61,CDBG Administration
226,SI-00669331,82196.43,5/17/2023,Approved,5/17/2023,NEWMARK PARTNERS LP,Paid,6/16/2023,3046618,82196.43,0,ACH,Reconciled,6/20/2023,82196.43,6/16/2023,PO-00103605,82196.43,CDBG Administration
227,SI-00675606,969.18,5/18/2023,Approved,5/18/2023,NEWMARK PARTNERS LP,Paid,6/16/2023,3046618,969.18,0,ACH,Reconciled,6/20/2023,969.18,6/17/2023,PO-00182854,969.18,CDBG Administration
228,SI-00673592,25080.97,5/18/2023,Approved,5/18/2023,HANDPRINT ARCHITECTURE INC,Paid,6/16/2023,3046703,25080.97,0,ACH,Reconciled,6/20/2023,25080.97,6/17/2023,PO-00128621,25080.97,CDBG Administration
229,SI-00658314,60441.98,5/18/2023,Approved,5/18/2023,HANDPRINT ARCHITECTURE INC,Paid,5/25/2023,3026216,60441.98,0,ACH,Reconciled,5/26/2023,60441.98,5/18/2023,PO-00128621,8783.49,CDBG Administration
230,SI-00658314,60441.98,5/18/2023,Approved,5/18/2023,HANDPRINT ARCHITECTURE INC,Paid,5/25/2023,3026216,,,,Reconciled,5/26/2023,60441.98,5/18/2023,PO-00128621,51658.49,CDBG Administration
231,SI-00686102,5910.28,5/22/2023,Approved,5/22/2023,OAK ENVIRONMENTAL LLC,Paid,6/21/2023,3046869,5910.28,0,ACH,Reconciled,6/22/2023,5910.28,6/21/2023,PO-00140491,5910.28,CDBG Administration
232,SI-00603974,2800,5/22/2023,Approved,5/22/2023,THE SALVATION ARMY,Paid,6/21/2023,3046860,2800,0,ACH,Reconciled,6/22/2023,2800,6/21/2023,PO-00132712,2800,CDBG Administration
233,SI-00608618,21861.26,5/22/2023,Approved,5/22/2023,HANDPRINT ARCHITECTURE INC,Paid,5/25/2023,3026216,21861.26,0,ACH,Reconciled,5/26/2023,21861.26,5/22/2023,PO-00128621,6441.62,CDBG Administration
234,SI-00608618,21861.26,5/22/2023,Approved,5/22/2023,HANDPRINT ARCHITECTURE INC,Paid,5/25/2023,3026216,,,,Reconciled,5/26/2023,21861.26,5/22/2023,PO-00128621,15419.64,CDBG Administration
235,SI-00699600,455400,5/22/2023,Approved,5/22/2023,CATHOLIC CHARITIES AND COMMUNITY SERVICES OF DENVER,Paid,5/25/2023,3026234,455400,0,ACH,Reconciled,5/26/2023,455400,5/22/2023,PO-00186453,455400,CDBG Administration
